disease,frequency,percentage,accuracy,precision,recall,f1_score
pleural_effusion,51016,67.2,0.7819,0.8159,0.7742,0.7945
pneumothorax,45982,60.57,0.7058,0.6522,0.7328,0.6902
edema,17755,23.39,0.7468,0.6883,0.7873,0.7345
pneumonia,15546,20.48,0.7472,0.7096,0.6854,0.6973
atelectasis,13794,18.17,0.6472,0.6422,0.5995,0.6201
lung_opacity,9570,12.61,0.6641,0.6409,0.6261,0.6334
cardiomegaly,8569,11.29,0.6826,0.6474,0.6639,0.6555
tortuosity_of_the_thoracic_aorta,3112,4.1,0.5478,0.5656,0.4844,0.5219
calcification,2995,3.95,0.5229,0.5872,0.5424,0.5639
emphysema,2867,3.78,0.5078,0.5355,0.4794,0.5059
consolidation,2261,2.98,0.5042,0.4475,0.5368,0.4881
fracture,2002,2.64,0.5348,0.5141,0.5168,0.5154
lung_lesion,1961,2.58,0.5493,0.6141,0.5645,0.5883
hernia,990,1.3,0.5896,0.6061,0.6238,0.6148
pleural_thickening,946,1.25,0.4062,0.395,0.3629,0.3783
granuloma,678,0.89,0.4586,0.5051,0.4193,0.4582
