disease,phrase,count
atelectasis,bibasilar,1088
atelectasis,left lower lobe,852
atelectasis,left basilar,595
atelectasis,left base,582
atelectasis,none,574
atelectasis,lung bases,564
atelectasis,bilateral bases,538
atelectasis,left lung base,521
atelectasis,retrocardiac,416
atelectasis,right lung base,367
atelectasis,bilateral basilar,360
atelectasis,right lower lobe,321
atelectasis,right basilar,316
atelectasis,bilateral lung bases,286
atelectasis,right base,264
atelectasis,basilar,213
atelectasis,bilateral,156
atelectasis,left basal,152
atelectasis,right middle lobe,150
atelectasis,bilateral basilar regions,139
atelectasis,retrocardiac region,138
atelectasis,bilateral basal regions,129
atelectasis,bilateral lower lobes,119
atelectasis,left lung,100
atelectasis,bilateral basal,96
atelectasis,right upper lobe,86
atelectasis,left retrocardiac,84
atelectasis,right lung,84
atelectasis,right basal,83
atelectasis,bilateral basilar segments,73
atelectasis,both lung bases,70
atelectasis,bilateral basal segments,58
atelectasis,left lower lung,57
atelectasis,right,57
atelectasis,bases,57
atelectasis,left lung bases,54
atelectasis,left,54
atelectasis,left upper lobe,51
atelectasis,lower lungs,50
atelectasis,right lower lung,49
atelectasis,lingula,48
atelectasis,bilateral lower lobe,47
atelectasis,left mid lung,46
atelectasis,right lung bases,46
atelectasis,right mid lung,40
atelectasis,bilateral lungs,38
atelectasis,left hemidiaphragm,38
atelectasis,lower lung,37
atelectasis,bilateral bibasilar,34
atelectasis,left retrocardiac region,31
atelectasis,left base retrocardiac,29
atelectasis,lower lobe,28
atelectasis,left costophrenic angle,27
atelectasis,basal,23
atelectasis,bibasilar lungs,23
atelectasis,bilateral basal areas,22
atelectasis,bilateral lower lung,20
atelectasis,bibasal,17
atelectasis,right infrahilar,16
atelectasis,right hemidiaphragm,16
atelectasis,lungs,15
atelectasis,lingular,15
atelectasis,left basal lobe,15
atelectasis,both bases,15
atelectasis,lower lobes,14
atelectasis,mid lung,14
atelectasis,bilateral basilar subsegments,14
atelectasis,left midlung,14
atelectasis,retrocardiac lung regions,14
atelectasis,bilateral lower lungs,13
atelectasis,adjacent to bilateral pleural effusions,13
atelectasis,left basilar lung,13
atelectasis,right middle and lower lobes,13
atelectasis,right middle and lower lobe,12
atelectasis,bibasilar regions,12
atelectasis,right medial lung base,12
atelectasis,retrocardiac lung areas,11
atelectasis,left heart border,11
atelectasis,both lower lobes,11
atelectasis,left mid and lower lung,10
atelectasis,left infrahilar,10
atelectasis,bibasilar subsegments,10
atelectasis,left adjacent to pleural effusion,9
atelectasis,retrocardiac and right basilar,9
atelectasis,bibasilar airspaces,9
atelectasis,right hemithorax,9
atelectasis,right perihilar,9
atelectasis,left basilar subsegment,9
atelectasis,left and right lung bases,8
atelectasis,right infrahilar region,8
atelectasis,retrocardiac area,8
atelectasis,subsegmental,8
atelectasis,left basilar lobe,8
atelectasis,bibasilar subsegmental,8
atelectasis,basilar lungs,8
atelectasis,left base laterally,8
atelectasis,left lingula,7
atelectasis,left lower lobe and right lower lobe,7
atelectasis,left hemithorax,7
atelectasis,right midlung,7
atelectasis,right basilar region,7
atelectasis,right basilar lobe,7
atelectasis,right upper lung,7
atelectasis,right costophrenic angle,7
atelectasis,"left lower lobe, right lower lobe",7
atelectasis,left basilar retrocardiac,7
atelectasis,bilateral lower lung bases,7
atelectasis,basal areas,7
atelectasis,lingular lobe,7
atelectasis,left lung basis,7
atelectasis,left basilar region,7
atelectasis,bilateral perihilar,6
atelectasis,right cardiophrenic angle,6
atelectasis,right basilar lung,6
atelectasis,right heart border,6
atelectasis,basilar lung,6
atelectasis,left mid-to-lower lung,6
atelectasis,basilar regions,6
atelectasis,bilateral costophrenic angles,6
atelectasis,bilateral basilar airspaces,6
atelectasis,left mid to lower lung,6
atelectasis,"right lower lobe, left lower lobe",6
atelectasis,multifocal,6
atelectasis,bilateral basilar lobes,6
atelectasis,"left lower lobe, right base",6
atelectasis,basilar lung regions,6
atelectasis,right medial basilar,6
atelectasis,bilateral basal subsegments,6
atelectasis,posterior basilar,5
atelectasis,right lower lobe medial,5
atelectasis,left perihilar,5
atelectasis,right cardiophrenic region,5
atelectasis,right mid and lower lung,5
atelectasis,mid and lower lungs,5
atelectasis,left lower lobe retrocardiac,5
atelectasis,bibasilar and retrocardiac,5
atelectasis,right lower lung zone,5
atelectasis,left bibasilar,5
atelectasis,lung base,5
atelectasis,right side,5
atelectasis,left base and right base,5
atelectasis,left basilar subsegmental,5
atelectasis,right mid-to-lower lung,5
atelectasis,left lower lung base,5
atelectasis,left greater than right bibasilar,5
atelectasis,left mid lung field,5
atelectasis,right basilar subsegment,5
atelectasis,posterior costophrenic angles,4
atelectasis,left lung base laterally,4
atelectasis,right base medially,4
atelectasis,bilateral basal lobes,4
atelectasis,adjacent to hiatal hernia,4
atelectasis,retrocardiac space,4
atelectasis,left adjacent,4
atelectasis,right apex,4
atelectasis,bilateral areas,4
atelectasis,right-sided,4
atelectasis,bilateral bases (right more prominent),4
atelectasis,right lower and mid lung,4
