step,bs32-lr1e-04-ep50-val/s_score_step,bs32-lr1e-04-ep50-val/s_score_timestamp
0,0.465481438,1.76503E+12
1,0.434841121,1.76503E+12
2,0.485393039,1.76503E+12
3,0.468693931,1.76503E+12
4,0.466784945,1.76503E+12
5,0.492461014,1.76503E+12
6,0.492107708,1.76503E+12
7,0.517984174,1.76503E+12
8,0.507775707,1.76503E+12
9,0.492659117,1.76503E+12
10,0.513609613,1.76503E+12
11,0.511073073,1.76503E+12
12,0.509244804,1.76503E+12
13,0.493438975,1.76504E+12
14,0.502460044,1.76504E+12
15,0.490023178,1.76504E+12
16,0.497752053,1.76504E+12
17,0.506929553,1.76504E+12
18,0.519123005,1.76504E+12
19,0.510880624,1.76504E+12
20,0.510972384,1.76504E+12
21,0.512302125,1.76504E+12
22,0.504072738,1.76504E+12
23,0.507320367,1.76504E+12
24,0.491785451,1.76504E+12
25,0.512140241,1.76504E+12
26,0.510314537,1.76504E+12
27,0.508298095,1.76504E+12
28,0.51910681,1.76504E+12
29,0.518584829,1.76504E+12
30,0.515620647,1.76504E+12
31,0.507586121,1.76504E+12
32,0.496778071,1.76505E+12
33,0.534033368,1.76505E+12
34,0.523118318,1.76505E+12
35,0.52749881,1.76505E+12
36,0.509234325,1.76505E+12
37,0.525420088,1.76505E+12
38,0.528617421,1.76505E+12
39,0.501924964,1.76505E+12
40,0.526096208,1.76505E+12
41,0.519216165,1.76505E+12
42,0.524384178,1.76505E+12
43,0.52029435,1.76505E+12
44,0.519101766,1.76505E+12
45,0.543230004,1.76505E+12
46,0.528920012,1.76505E+12
47,0.526403642,1.76505E+12
48,0.535593734,1.76505E+12
49,0.538730994,1.76505E+12
