step,dacg_structured_20251208_210105-val/s_score_step,dacg_structured_20251208_210105-val/s_score_timestamp
0,0.4897205993,1765199384631
1,0.4943272506,1765199900383
2,0.5001900342,1765200412461
3,0.4925866412,1765200927079
4,0.5093020949,1765201440154
5,0.4996995895,1765201953916
6,0.5061787807,1765202470473
7,0.5401583743,1765202979929
8,0.5074647263,1765203498702
9,0.5368624171,1765204011728
10,0.5544171270,1765204522363
11,0.5347564481,1765205039883
12,0.5360167096,1765205554080
13,0.5658028224,1765206066222
14,0.5593466577,1765206580564
15,0.5739923730,1765207090940
16,0.5675793523,1765207604518
17,0.5771788520,1765208113320
18,0.5591655006,1765208626910
19,0.5657103750,1765209138904
20,0.5803786157,1765209648032
21,0.5657451830,1765210161705
22,0.5708711390,1765210675124
23,0.5643842752,1765211188903
24,0.5815448531,1765211699372
25,0.5823418552,1765212212533
26,0.5780446575,1765212724920
27,0.5879645658,1765213235356
28,0.5773073947,1765213752252
29,0.6052017759,1765214305363
30,0.5894333107,1765214830150
31,0.5886728258,1765215342621
32,0.5850035270,1765215853068
33,0.5874378088,1765216366787
34,0.5895575147,1765216877482
35,0.5974255758,1765217387520
36,0.5955176195,1765217896626
37,0.6019008306,1765218407884
38,0.5837555552,1765218920759
39,0.5929262919,1765219430448
40,0.5977526315,1765219938790
41,0.6000578087,1765220448000
42,0.5950596238,1765220960971
43,0.5985424753,1765221471469
44,0.5926544969,1765221983850
45,0.5935601638,1765222493525
46,0.6018088264,1765223003180
47,0.5990164609,1765223513114
48,0.5985696293,1765224023591
49,0.5978000000,1765224535749
